epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.201,0.94166,0.74763,0.57337,0.69064,1.52225,0.99746,0.99734,0.99493,0.842,0.99463,0.99459,0.99329,0.82124,0.63005,0.70272,0.4921,0.39173,1.13813,0.000664083,0.000664083,0.000664083
2,249.31,0.64822,0.48751,0.46083,0.41441,1.23484,0.99693,0.99717,0.99495,0.80049,0.99345,0.99491,0.99292,0.87071,0.82795,0.46954,0.44686,0.39484,1.40686,0.0013044,0.0013044,0.0013044
3,336.105,0.60194,0.4367,0.44458,0.39093,1.19509,0.9925,0.99887,0.99464,0.92594,0.9882,0.99403,0.9914,0.86679,0.4147,0.50676,0.39305,0.31934,0.81212,0.00191832,0.00191832,0.00191832
4,425.467,0.58749,0.4401,0.43781,0.37526,1.18597,0.99098,0.99397,0.99474,0.92042,0.98691,0.99095,0.99259,0.87839,0.42968,0.41296,0.36896,0.27968,0.89193,0.0018812,0.0018812,0.0018812
5,511.202,0.55019,0.40868,0.42357,0.35324,1.15072,0.99633,0.99821,0.99482,0.96896,0.99436,0.99623,0.99368,0.91906,0.30035,0.32901,0.35087,0.22693,0.7197,0.0018416,0.0018416,0.0018416
6,592.848,0.51904,0.39507,0.41928,0.32609,1.12792,0.9983,0.99863,0.99499,0.96863,0.99604,0.99666,0.99355,0.91298,0.31605,0.31621,0.33261,0.23895,0.78171,0.001802,0.001802,0.001802
7,666.624,0.50452,0.37789,0.41182,0.31836,1.11197,0.99744,0.99943,0.99477,0.88734,0.99575,0.99774,0.99358,0.91702,0.55063,0.35169,0.33582,0.26543,0.94369,0.0017624,0.0017624,0.0017624
8,738.758,0.48085,0.36458,0.40401,0.3046,1.09251,0.99859,0.99906,0.99491,0.93775,0.99604,0.99651,0.99427,0.94034,0.33966,0.2917,0.32593,0.20232,0.72971,0.0017228,0.0017228,0.0017228
9,810.731,0.46861,0.35496,0.40738,0.29126,1.08793,0.99828,1,0.99499,0.97483,0.99545,0.99717,0.994,0.9437,0.32868,0.30967,0.35627,0.20999,0.73298,0.0016832,0.0016832,0.0016832
10,880.34,0.45812,0.35287,0.39961,0.28536,1.07876,0.99905,0.99972,0.995,0.97589,0.99736,0.99802,0.99413,0.94502,0.24812,0.24753,0.31167,0.19085,0.71242,0.0016436,0.0016436,0.0016436
